pack_number,zip,pack_name,class,subclass,specialization,ability,monster,boss,support_npc,weather,terrain,sun_variant,glb_modules,texture_png,audio_wav,config_docs,size_bytes
633,0633_packmaster_heel_heel_strike_combat_magic_upgrade_0633.zip,Packmaster Heel & Heel-Strike Combat Magic Upgrade 0633,Packmaster,Alpha-Handler,Pack Mentality,Heel & Heel-Strike,The Gnarl-Maws,The Data-Forged Evolvarch,The Grand Archivist,snow squall,root snare,eclipse violet rim,8,12,5,11,84203
634,0634_orbital_striker_orbital_singularity_combat_magic_upgrade_0634.zip,Orbital Striker Orbital Singularity Combat Magic Upgrade 0634,Orbital Striker,Thruster-Junkie,Exhaust Burn,Orbital Singularity,The Aegis Carapace,The Resonance Maestro,Tidespeaker Nami,zero-g starstorm,starfield dust,storm green cast,8,12,5,11,86405
635,0635_scrap_tek_junkyard_titan_combat_magic_upgrade_0635.zip,Scrap-Tek Junkyard Titan Combat Magic Upgrade 0635,Scrap-Tek,Field-Mechanic,Hunter-Killer Drones,Junkyard Titan,The Tremor-Fiend,The Syndicate Lich,Beastmaster Thorne,fog bank,glass shard soundwave,molten red noon,8,12,5,11,95432
636,0636_kinetic_juggernaut_the_asteroid_combat_magic_upgrade_0636.zip,Kinetic Juggernaut The Asteroid Combat Magic Upgrade 0636,Kinetic Juggernaut,Seismic Brawler,Heavy Grapple,The Asteroid,The Scrap-Stalker,The Apex Chimera,Director Vance,tidal surge,root snare,deep-water cyan bloom,8,12,5,11,125807
637,0637_phantom_shift_time_dilation_aura_combat_magic_upgrade_0637.zip,Phantom-Shift Time-Dilation Aura Combat Magic Upgrade 0637,Phantom-Shift,Neural-Linker,Synaptic Overload,Time-Dilation Aura,The Grid-Rushers,The Astral Sovereign,The Grand Archivist,clear dawn,starfield dust,archive white-gold,8,12,5,11,86085
638,0638_sylvan_warden_bramble_slam_combat_magic_upgrade_0638.zip,Sylvan Warden Bramble-Slam Combat Magic Upgrade 0638,Sylvan Warden,Apex Flora,Canopy Assault,Bramble-Slam,The Siphon-Ticks,The Null Anomaly,Tidespeaker Nami,amber dusk,glass shard soundwave,void blacklight sun,8,12,5,11,127485
639,0639_flux_caster_frame_trap_decoy_combat_magic_upgrade_0639.zip,Flux-Caster Frame-Trap Decoy Combat Magic Upgrade 0639,Flux-Caster,Geo-Mage,Blizzard,Frame-Trap Decoy,The Venom-Spitter,The Ivory Behemoth,Beastmaster Thorne,acid rain,root snare,festival magenta sun,8,12,5,11,109603
640,0640_protocol_weaver_system_override_combat_magic_upgrade_0640.zip,Protocol Weaver System Override Combat Magic Upgrade 0640,Protocol Weaver,EPI-Savant,Lethal Formatting,System Override,Nexus Warden,The Ascendant Colossus,Director Vance,snow squall,starfield dust,cold blue sunrise,8,12,5,11,110975
641,0641_apex_mutator_the_anomaly_virus_combat_magic_upgrade_0641.zip,Apex Mutator The Anomaly Virus Combat Magic Upgrade 0641,Apex Mutator,Biomech Beast,Corrupted File,The Anomaly Virus,The Void Anomaly,The Resonant Behemoth,The Grand Archivist,zero-g starstorm,glass shard soundwave,golden sanctuary sun,8,12,5,11,125884
642,0642_resonant_tremor_vault_combat_magic_upgrade_0642.zip,Resonant Tremor Vault Combat Magic Upgrade 0642,Resonant,Tempo-Weaver,Psychoacoustic Illusion,Tremor Vault,The Scrap-Phalanx,The Data-Forged Evolvarch,Tidespeaker Nami,fog bank,root snare,ash-orange glare,8,12,5,11,108826
643,0643_packmaster_release_the_hound_combat_magic_upgrade_0643.zip,Packmaster Release the Hound Combat Magic Upgrade 0643,Packmaster,Feral Vanguard,The Stampede,Release the Hound,The Iron-Jaw Hound,The Resonance Maestro,Beastmaster Thorne,tidal surge,starfield dust,eclipse violet rim,8,12,5,11,83541
644,0644_orbital_striker_the_grav_lift_combat_magic_upgrade_0644.zip,Orbital Striker The Grav-Lift Combat Magic Upgrade 0644,Orbital Striker,Grav-Architect,Satellite Painting,The Grav-Lift,The Nexus Swarmers,The Syndicate Lich,Director Vance,clear dawn,glass shard soundwave,storm green cast,8,12,5,11,87021
645,0645_scrap_tek_emp_grid_combat_magic_upgrade_0645.zip,Scrap-Tek EMP Grid Combat Magic Upgrade 0645,Scrap-Tek,Shock-Jockey,Hydraulic Leap,EMP Grid,The Sylvan Juggernaut,The Apex Chimera,The Grand Archivist,amber dusk,root snare,molten red noon,8,12,5,11,95192
646,0646_kinetic_juggernaut_ground_zero_combat_magic_upgrade_0646.zip,Kinetic Juggernaut Ground Zero Combat Magic Upgrade 0646,Kinetic Juggernaut,Inertia Bastion,Reactive Armor,Ground Zero,The Gnarl-Maws,The Astral Sovereign,Tidespeaker Nami,acid rain,starfield dust,deep-water cyan bloom,8,12,5,11,126352
647,0647_phantom_shift_blink_parry_combat_magic_upgrade_0647.zip,Phantom-Shift Blink-Parry Combat Magic Upgrade 0647,Phantom-Shift,Glass-Cannon,Momentum Drift,Blink-Parry,The Aegis Carapace,The Null Anomaly,Beastmaster Thorne,snow squall,glass shard soundwave,archive white-gold,8,12,5,11,86652
648,0648_sylvan_warden_vine_whip_combat_magic_upgrade_0648.zip,Sylvan Warden Vine-Whip Combat Magic Upgrade 0648,Sylvan Warden,Root-Binder,Thorns & Tethers,Vine-Whip,The Tremor-Fiend,The Ivory Behemoth,Director Vance,zero-g starstorm,root snare,void blacklight sun,8,12,5,11,127004
649,0649_flux_caster_elemental_dive_combat_magic_upgrade_0649.zip,Flux-Caster Elemental Dive Combat Magic Upgrade 0649,Flux-Caster,Elemental Weaver,Thermal Shock,Elemental Dive,The Scrap-Stalker,The Ascendant Colossus,The Grand Archivist,fog bank,starfield dust,festival magenta sun,8,12,5,11,109423
650,0650_protocol_weaver_grapple_syntax_combat_magic_upgrade_0650.zip,Protocol Weaver Grapple Syntax Combat Magic Upgrade 0650,Protocol Weaver,Anomaly,Structural Revision,Grapple Syntax,The Grid-Rushers,The Resonant Behemoth,Tidespeaker Nami,tidal surge,glass shard soundwave,cold blue sunrise,8,12,5,11,109646
651,0651_apex_mutator_assimilation_roar_combat_magic_upgrade_0651.zip,Apex Mutator Assimilation Roar Combat Magic Upgrade 0651,Apex Mutator,Chimera Strand,Scrap-Armor,Assimilation Roar,The Siphon-Ticks,The Data-Forged Evolvarch,Beastmaster Thorne,clear dawn,root snare,golden sanctuary sun,8,12,5,11,126426
652,0652_resonant_sub_woofer_slam_combat_magic_upgrade_0652.zip,Resonant Sub-Woofer Slam Combat Magic Upgrade 0652,Resonant,Sonic Vanguard,Kinetic Amplification,Sub-Woofer Slam,The Venom-Spitter,The Resonance Maestro,Director Vance,amber dusk,starfield dust,ash-orange glare,8,12,5,11,108820
653,0653_packmaster_alpha_s_command_combat_magic_upgrade_0653.zip,Packmaster Alpha's Command Combat Magic Upgrade 0653,Packmaster,Outward Hunter,Coordinated Assault,Alpha's Command,Nexus Warden,The Syndicate Lich,The Grand Archivist,acid rain,glass shard soundwave,eclipse violet rim,8,12,5,11,83922
654,0654_orbital_striker_tractor_grapple_combat_magic_upgrade_0654.zip,Orbital Striker Tractor Grapple Combat Magic Upgrade 0654,Orbital Striker,Orbital Bombardment,Frictionless Dash,Tractor Grapple,The Void Anomaly,The Apex Chimera,Tidespeaker Nami,snow squall,root snare,storm green cast,8,12,5,11,87115
655,0655_scrap_tek_wrecking_ball_combat_magic_upgrade_0655.zip,Scrap-Tek Wrecking Ball Combat Magic Upgrade 0655,Scrap-Tek,Exo-Brawler,Sentry Defense,Wrecking Ball,The Scrap-Phalanx,The Astral Sovereign,Beastmaster Thorne,zero-g starstorm,starfield dust,molten red noon,8,12,5,11,95340
656,0656_kinetic_juggernaut_crater_drop_combat_magic_upgrade_0656.zip,Kinetic Juggernaut Crater Drop Combat Magic Upgrade 0656,Kinetic Juggernaut,Counter-Weight,The Stampede,Crater Drop,The Iron-Jaw Hound,The Null Anomaly,Director Vance,fog bank,glass shard soundwave,deep-water cyan bloom,8,12,5,11,127322
657,0657_phantom_shift_reality_shatter_combat_magic_upgrade_0657.zip,Phantom-Shift Reality Shatter Combat Magic Upgrade 0657,Phantom-Shift,Void-Walker,Time-Loop,Reality Shatter,The Nexus Swarmers,The Ivory Behemoth,The Grand Archivist,tidal surge,root snare,archive white-gold,8,12,5,11,86523
658,0658_sylvan_warden_master_gardener_combat_magic_upgrade_0658.zip,Sylvan Warden Master Gardener Combat Magic Upgrade 0658,Sylvan Warden,Iron-Bark,Tectonic Roots,Master Gardener,The Sylvan Juggernaut,The Ascendant Colossus,Tidespeaker Nami,clear dawn,starfield dust,void blacklight sun,8,12,5,11,127204
659,0659_flux_caster_stance_dance_combat_magic_upgrade_0659.zip,Flux-Caster Stance Dance Combat Magic Upgrade 0659,Flux-Caster,Aether-Blade,Elemental Ward,Stance Dance,The Gnarl-Maws,The Resonant Behemoth,Beastmaster Thorne,amber dusk,glass shard soundwave,festival magenta sun,8,12,5,11,109060
660,0660_protocol_weaver_structural_rewrite_combat_magic_upgrade_0660.zip,Protocol Weaver Structural Rewrite Combat Magic Upgrade 0660,Protocol Weaver,Front-Matter Architect,Foundation Warding,Structural Rewrite,The Aegis Carapace,The Data-Forged Evolvarch,Director Vance,acid rain,root snare,cold blue sunrise,8,12,5,11,110195
661,0661_apex_mutator_dna_siphon_combat_magic_upgrade_0661.zip,Apex Mutator DNA Siphon Combat Magic Upgrade 0661,Apex Mutator,Data-Code Deviant,Recursive Evolution,DNA Siphon,The Tremor-Fiend,The Resonance Maestro,The Grand Archivist,snow squall,starfield dust,golden sanctuary sun,8,12,5,11,126385
662,0662_resonant_festival_headliner_combat_magic_upgrade_0662.zip,Resonant Festival Headliner Combat Magic Upgrade 0662,Resonant,Wakaan Mystic,Acoustic Shielding,Festival Headliner,The Scrap-Stalker,The Syndicate Lich,Tidespeaker Nami,zero-g starstorm,glass shard soundwave,ash-orange glare,8,12,5,11,108886
663,0663_packmaster_launching_bite_combat_magic_upgrade_0663.zip,Packmaster Launching Bite Combat Magic Upgrade 0663,Packmaster,Hound-Rider,Territorial Divide,Launching Bite,The Grid-Rushers,The Apex Chimera,Beastmaster Thorne,fog bank,root snare,eclipse violet rim,8,12,5,11,83785
664,0664_orbital_striker_thruster_parry_combat_magic_upgrade_0664.zip,Orbital Striker Thruster Parry Combat Magic Upgrade 0664,Orbital Striker,Zero-G Brawler,Repulsion Matrix,Thruster Parry,The Siphon-Ticks,The Astral Sovereign,Director Vance,tidal surge,starfield dust,storm green cast,8,12,5,11,86268
665,0665_scrap_tek_junkyard_turret_combat_magic_upgrade_0665.zip,Scrap-Tek Junkyard Turret Combat Magic Upgrade 0665,Scrap-Tek,Scavenger,Overcharge,Junkyard Turret,The Venom-Spitter,The Null Anomaly,The Grand Archivist,clear dawn,glass shard soundwave,molten red noon,8,12,5,11,95338
666,0666_kinetic_juggernaut_release_valve_combat_magic_upgrade_0666.zip,Kinetic Juggernaut Release Valve Combat Magic Upgrade 0666,Kinetic Juggernaut,Momentum Engine,Aggro Manipulation,Release Valve,Nexus Warden,The Ivory Behemoth,Tidespeaker Nami,amber dusk,root snare,deep-water cyan bloom,8,12,5,11,125588
667,0667_phantom_shift_chrono_collapse_combat_magic_upgrade_0667.zip,Phantom-Shift Chrono-Collapse Combat Magic Upgrade 0667,Phantom-Shift,Chrono-Blade,Velocity Scaling,Chrono-Collapse,The Void Anomaly,The Ascendant Colossus,Beastmaster Thorne,acid rain,starfield dust,archive white-gold,8,12,5,11,86670
668,0668_sylvan_warden_frame_trap_substitution_combat_magic_upgrade_0668.zip,Sylvan Warden Frame-Trap Substitution Combat Magic Upgrade 0668,Sylvan Warden,Verdant Weaver,Briar-Patch,Frame-Trap Substitution,The Scrap-Phalanx,The Resonant Behemoth,Director Vance,snow squall,glass shard soundwave,void blacklight sun,8,12,5,11,127014
669,0669_flux_caster_the_maelstrom_combat_magic_upgrade_0669.zip,Flux-Caster The Maelstrom Combat Magic Upgrade 0669,Flux-Caster,Storm-Caller,Crystal Carapace,The Maelstrom,The Iron-Jaw Hound,The Data-Forged Evolvarch,The Grand Archivist,zero-g starstorm,root snare,festival magenta sun,8,12,5,11,109771
670,0670_protocol_weaver_final_revision_combat_magic_upgrade_0670.zip,Protocol Weaver Final Revision Combat Magic Upgrade 0670,Protocol Weaver,Evolutionary Coder,Digital Ascension,Final Revision,The Nexus Swarmers,The Resonance Maestro,Tidespeaker Nami,fog bank,starfield dust,cold blue sunrise,8,12,5,11,108541
671,0671_apex_mutator_apex_ascendancy_combat_magic_upgrade_0671.zip,Apex Mutator Apex Ascendancy Combat Magic Upgrade 0671,Apex Mutator,Primal Catalyst,Apex Predator,Apex Ascendancy,The Sylvan Juggernaut,The Syndicate Lich,Beastmaster Thorne,tidal surge,glass shard soundwave,golden sanctuary sun,8,12,5,11,126416
672,0672_resonant_dual_woofer_slam_combat_magic_upgrade_0672.zip,Resonant Dual-Woofer Slam Combat Magic Upgrade 0672,Resonant,Sub-Bass Architect,Low-Frequency Disruption,Dual-Woofer Slam,The Gnarl-Maws,The Apex Chimera,Director Vance,clear dawn,root snare,ash-orange glare,8,12,5,11,109957
673,0673_packmaster_the_latch_combat_magic_upgrade_0673.zip,Packmaster The Latch Combat Magic Upgrade 0673,Packmaster,Alpha-Handler,Heavy-Chewer Lockdown,The Latch,The Aegis Carapace,The Astral Sovereign,The Grand Archivist,amber dusk,starfield dust,eclipse violet rim,8,12,5,11,83248
674,0674_orbital_striker_stratosphere_slam_combat_magic_upgrade_0674.zip,Orbital Striker Stratosphere Slam Combat Magic Upgrade 0674,Orbital Striker,Thruster-Junkie,Atmospheric Juggle,Stratosphere Slam,The Tremor-Fiend,The Null Anomaly,Tidespeaker Nami,acid rain,glass shard soundwave,storm green cast,8,12,5,11,87696
675,0675_scrap_tek_hydraulic_piston_combat_magic_upgrade_0675.zip,Scrap-Tek Hydraulic Piston Combat Magic Upgrade 0675,Scrap-Tek,Field-Mechanic,Shrapnel Storm,Hydraulic Piston,The Scrap-Stalker,The Ivory Behemoth,Beastmaster Thorne,snow squall,root snare,molten red noon,8,12,5,11,95149
676,0676_kinetic_juggernaut_heavy_handed_combat_magic_upgrade_0676.zip,Kinetic Juggernaut Heavy-Handed Combat Magic Upgrade 0676,Kinetic Juggernaut,Seismic Brawler,Release Valve,Heavy-Handed,The Grid-Rushers,The Ascendant Colossus,Director Vance,zero-g starstorm,starfield dust,deep-water cyan bloom,8,12,5,11,126086
677,0677_phantom_shift_vaulting_stutter_combat_magic_upgrade_0677.zip,Phantom-Shift Vaulting Stutter Combat Magic Upgrade 0677,Phantom-Shift,Neural-Linker,Shadow-Anchor,Vaulting Stutter,The Siphon-Ticks,The Resonant Behemoth,The Grand Archivist,fog bank,glass shard soundwave,archive white-gold,8,12,5,11,86991
678,0678_sylvan_warden_vine_pull_combat_magic_upgrade_0678.zip,Sylvan Warden Vine-Pull Combat Magic Upgrade 0678,Sylvan Warden,Apex Flora,Ablative Carapace,Vine-Pull,The Venom-Spitter,The Data-Forged Evolvarch,Tidespeaker Nami,tidal surge,root snare,void blacklight sun,8,12,5,11,126919
679,0679_flux_caster_ley_line_pull_combat_magic_upgrade_0679.zip,Flux-Caster Ley-Line Pull Combat Magic Upgrade 0679,Flux-Caster,Geo-Mage,Spell-Strike,Ley-Line Pull,Nexus Warden,The Resonance Maestro,Beastmaster Thorne,clear dawn,starfield dust,festival magenta sun,8,12,5,11,109902
680,0680_protocol_weaver_frame_trap_combat_magic_upgrade_0680.zip,Protocol Weaver Frame-Trap Combat Magic Upgrade 0680,Protocol Weaver,EPI-Savant,Reality Tearing,Frame-Trap,The Void Anomaly,The Syndicate Lich,Director Vance,amber dusk,glass shard soundwave,cold blue sunrise,8,12,5,11,108726
681,0681_apex_mutator_omega_cleave_combat_magic_upgrade_0681.zip,Apex Mutator Omega Cleave Combat Magic Upgrade 0681,Apex Mutator,Biomech Beast,Feral Regeneration,Omega Cleave,The Scrap-Phalanx,The Apex Chimera,The Grand Archivist,acid rain,root snare,golden sanctuary sun,8,12,5,11,126615
682,0682_resonant_wall_of_sound_combat_magic_upgrade_0682.zip,Resonant Wall of Sound Combat Magic Upgrade 0682,Resonant,Tempo-Weaver,Halftime Stasis,Wall of Sound,The Iron-Jaw Hound,The Astral Sovereign,Tidespeaker Nami,snow squall,starfield dust,ash-orange glare,8,12,5,11,108822
683,0683_packmaster_dual_latch_combat_magic_upgrade_0683.zip,Packmaster Dual-Latch Combat Magic Upgrade 0683,Packmaster,Feral Vanguard,Pack Mentality,Dual-Latch,The Nexus Swarmers,The Null Anomaly,Beastmaster Thorne,zero-g starstorm,glass shard soundwave,eclipse violet rim,8,12,5,11,83536
684,0684_orbital_striker_hover_dash_combat_magic_upgrade_0684.zip,Orbital Striker Hover-Dash Combat Magic Upgrade 0684,Orbital Striker,Grav-Architect,Singularity Tether,Hover-Dash,The Sylvan Juggernaut,The Ivory Behemoth,Director Vance,fog bank,root snare,storm green cast,8,12,5,11,86587
685,0685_scrap_tek_magnetic_tether_combat_magic_upgrade_0685.zip,Scrap-Tek Magnetic Tether Combat Magic Upgrade 0685,Scrap-Tek,Shock-Jockey,Static Grid,Magnetic Tether,The Gnarl-Maws,The Ascendant Colossus,The Grand Archivist,tidal surge,starfield dust,molten red noon,8,12,5,11,95840
686,0686_kinetic_juggernaut_dual_release_combat_magic_upgrade_0686.zip,Kinetic Juggernaut Dual Release Combat Magic Upgrade 0686,Kinetic Juggernaut,Inertia Bastion,Heavy Grapple,Dual Release,The Aegis Carapace,The Resonant Behemoth,Tidespeaker Nami,clear dawn,glass shard soundwave,deep-water cyan bloom,8,12,5,11,126052
687,0687_phantom_shift_stutter_step_combat_magic_upgrade_0687.zip,Phantom-Shift Stutter-Step Combat Magic Upgrade 0687,Phantom-Shift,Glass-Cannon,Sensory Feedback,Stutter-Step,The Tremor-Fiend,The Data-Forged Evolvarch,Beastmaster Thorne,amber dusk,root snare,archive white-gold,8,12,5,11,86670
688,0688_sylvan_warden_briar_web_combat_magic_upgrade_0688.zip,Sylvan Warden Briar Web Combat Magic Upgrade 0688,Sylvan Warden,Root-Binder,Photosynthesis,Briar Web,The Scrap-Stalker,The Resonance Maestro,Director Vance,acid rain,starfield dust,void blacklight sun,8,12,5,11,127275
689,0689_flux_caster_flux_parry_combat_magic_upgrade_0689.zip,Flux-Caster Flux-Parry Combat Magic Upgrade 0689,Flux-Caster,Elemental Weaver,Blizzard,Flux-Parry,The Grid-Rushers,The Syndicate Lich,The Grand Archivist,snow squall,glass shard soundwave,festival magenta sun,8,12,5,11,109531
690,0690_protocol_weaver_the_red_pen_combat_magic_upgrade_0690.zip,Protocol Weaver The Red Pen Combat Magic Upgrade 0690,Protocol Weaver,Anomaly,Biomechanical Shift,The Red Pen,The Siphon-Ticks,The Apex Chimera,Tidespeaker Nami,zero-g starstorm,root snare,cold blue sunrise,8,12,5,11,109885
691,0691_apex_mutator_beta_trigger_combat_magic_upgrade_0691.zip,Apex Mutator Beta Trigger Combat Magic Upgrade 0691,Apex Mutator,Chimera Strand,Earth-Shaker,Beta Trigger,The Venom-Spitter,The Astral Sovereign,Beastmaster Thorne,fog bank,starfield dust,golden sanctuary sun,8,12,5,11,125761
692,0692_resonant_acoustic_counter_combat_magic_upgrade_0692.zip,Resonant Acoustic Counter Combat Magic Upgrade 0692,Resonant,Sonic Vanguard,Psychoacoustic Illusion,Acoustic Counter,Nexus Warden,The Null Anomaly,Director Vance,tidal surge,glass shard soundwave,ash-orange glare,8,12,5,11,108912
693,0693_packmaster_meat_shield_combat_magic_upgrade_0693.zip,Packmaster Meat-Shield Combat Magic Upgrade 0693,Packmaster,Outward Hunter,Mounted Artillery,Meat-Shield,The Void Anomaly,The Ivory Behemoth,The Grand Archivist,clear dawn,root snare,eclipse violet rim,8,12,5,11,83353
694,0694_orbital_striker_anti_grav_uppercut_combat_magic_upgrade_0694.zip,Orbital Striker Anti-Grav Uppercut Combat Magic Upgrade 0694,Orbital Striker,Orbital Bombardment,Kinetic Rods,Anti-Grav Uppercut,The Scrap-Phalanx,The Ascendant Colossus,Tidespeaker Nami,amber dusk,starfield dust,storm green cast,8,12,5,11,86212
695,0695_scrap_tek_junkyard_titan_combat_magic_upgrade_0695.zip,Scrap-Tek Junkyard Titan Combat Magic Upgrade 0695,Scrap-Tek,Exo-Brawler,Hydraulic Leap,Junkyard Titan,The Iron-Jaw Hound,The Resonant Behemoth,Beastmaster Thorne,acid rain,glass shard soundwave,molten red noon,8,12,5,11,95737
696,0696_kinetic_juggernaut_gravity_well_combat_magic_upgrade_0696.zip,Kinetic Juggernaut Gravity Well Combat Magic Upgrade 0696,Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,Gravity Well,The Nexus Swarmers,The Data-Forged Evolvarch,Director Vance,snow squall,root snare,deep-water cyan bloom,8,12,5,11,125705
697,0697_phantom_shift_singularity_event_combat_magic_upgrade_0697.zip,Phantom-Shift Singularity Event Combat Magic Upgrade 0697,Phantom-Shift,Void-Walker,Phase-Shift Assassination,Singularity Event,The Sylvan Juggernaut,The Resonance Maestro,The Grand Archivist,zero-g starstorm,starfield dust,archive white-gold,8,12,5,11,87107
698,0698_sylvan_warden_bramble_slam_combat_magic_upgrade_0698.zip,Sylvan Warden Bramble-Slam Combat Magic Upgrade 0698,Sylvan Warden,Iron-Bark,Thorns & Tethers,Bramble-Slam,The Gnarl-Maws,The Syndicate Lich,Tidespeaker Nami,fog bank,glass shard soundwave,void blacklight sun,8,12,5,11,128197
699,0699_flux_caster_avatar_of_flux_combat_magic_upgrade_0699.zip,Flux-Caster Avatar of Flux Combat Magic Upgrade 0699,Flux-Caster,Aether-Blade,Superconduct,Avatar of Flux,The Aegis Carapace,The Apex Chimera,Beastmaster Thorne,tidal surge,root snare,festival magenta sun,8,12,5,11,108964
700,0700_protocol_weaver_syntax_strike_combat_magic_upgrade_0700.zip,Protocol Weaver Syntax Strike Combat Magic Upgrade 0700,Protocol Weaver,Front-Matter Architect,Cognitive Override,Syntax Strike,The Tremor-Fiend,The Astral Sovereign,Director Vance,clear dawn,starfield dust,cold blue sunrise,8,12,5,11,109389
701,0701_apex_mutator_alpha_trigger_combat_magic_upgrade_0701.zip,Apex Mutator Alpha Trigger Combat Magic Upgrade 0701,Apex Mutator,Data-Code Deviant,Scrap-Armor,Alpha Trigger,The Scrap-Stalker,The Null Anomaly,The Grand Archivist,amber dusk,glass shard soundwave,golden sanctuary sun,8,12,5,11,126290
702,0702_resonant_metric_strike_combat_magic_upgrade_0702.zip,Resonant Metric Strike Combat Magic Upgrade 0702,Resonant,Wakaan Mystic,Accelerando,Metric Strike,The Grid-Rushers,The Ivory Behemoth,Tidespeaker Nami,acid rain,root snare,ash-orange glare,8,12,5,11,109026
703,0703_packmaster_heel_heel_strike_combat_magic_upgrade_0703.zip,Packmaster Heel & Heel-Strike Combat Magic Upgrade 0703,Packmaster,Hound-Rider,Blood-Scent,Heel & Heel-Strike,The Siphon-Ticks,The Ascendant Colossus,Beastmaster Thorne,snow squall,starfield dust,eclipse violet rim,8,12,5,11,83272
704,0704_orbital_striker_thruster_strike_combat_magic_upgrade_0704.zip,Orbital Striker Thruster-Strike Combat Magic Upgrade 0704,Orbital Striker,Zero-G Brawler,Frictionless Dash,Thruster-Strike,The Venom-Spitter,The Resonant Behemoth,Director Vance,zero-g starstorm,glass shard soundwave,storm green cast,8,12,5,11,86135
705,0705_scrap_tek_emp_grid_combat_magic_upgrade_0705.zip,Scrap-Tek EMP Grid Combat Magic Upgrade 0705,Scrap-Tek,Scavenger,Hunter-Killer Drones,EMP Grid,Nexus Warden,The Data-Forged Evolvarch,The Grand Archivist,fog bank,root snare,molten red noon,8,12,5,11,95324
706,0706_kinetic_juggernaut_vaulting_stomp_combat_magic_upgrade_0706.zip,Kinetic Juggernaut Vaulting Stomp Combat Magic Upgrade 0706,Kinetic Juggernaut,Momentum Engine,Inertial Mass,Vaulting Stomp,The Void Anomaly,The Resonance Maestro,Tidespeaker Nami,tidal surge,starfield dust,deep-water cyan bloom,8,12,5,11,125824
707,0707_phantom_shift_time_dilation_aura_combat_magic_upgrade_0707.zip,Phantom-Shift Time-Dilation Aura Combat Magic Upgrade 0707,Phantom-Shift,Chrono-Blade,Time-Loop,Time-Dilation Aura,The Scrap-Phalanx,The Syndicate Lich,Beastmaster Thorne,clear dawn,glass shard soundwave,archive white-gold,8,12,5,11,86549
