npc_id,npc_name,region,sub_location,area,role,archetype,file
01_cosmic_layer.01_lunar_readiness_base.03.03,"Orin Tideforged, Keeper of Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Captain,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/03_orin_tideforged_keeper_of_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.04,"Kael Cragwarden, Oracle at Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Operator,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/04_kael_cragwarden_oracle_at_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.05,"Korra Gravesong, Tamer at Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Guide,sentinel,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/05_korra_gravesong_tamer_at_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.06,"Pax Skyharrow, Courier near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Mechanist,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/06_pax_skyharrow_courier_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.07,"Elo Holloway, Pilgrim at Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Oracle,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/07_elo_holloway_pilgrim_at_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.08,"Ren Chromabell, Fixer near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Watcher,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/08_ren_chromabell_fixer_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.09,"Sarai Mossguard, Scout under Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Specialist,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/09_sarai_mossguard_scout_under_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.10,"Ossa Whispercoil, Keeper near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Medic,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/10_ossa_whispercoil_keeper_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.11,"Zerin Signalborn, Keeper near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Responder,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/11_zerin_signalborn_keeper_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.12,"Draven Starfall, Fixer from Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Courier,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/12_draven_starfall_fixer_from_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.13,"Kael Wayfare, Medic at Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Archivist,scout,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/13_kael_wayfare_medic_at_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.14,"Sable Latchward, Engineer at Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Courier,engineer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/14_sable_latchward_engineer_at_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.15,"Talia Voidrill, Captain under Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Captain,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/15_talia_voidrill_captain_under_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.16,"Bryn Riftwalker, Cartographer near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Archivist,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/16_bryn_riftwalker_cartographer_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.17,"Tamsin Glassroot, Cartographer near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Archivist,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/17_tamsin_glassroot_cartographer_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.18,"Ilyra Cinderholt, Responder of Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Mechanist,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/18_ilyra_cinderholt_responder_of_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.19,"Asha Ironwake, Marshal near Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Marshal,sentinel,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/19_asha_ironwake_marshal_near_surface.glb
01_cosmic_layer.01_lunar_readiness_base.03.20,"Vale Brightlock, Cartographer from Surface",01 Cosmic Layer,01 Lunar Readiness Base,Surface Launch Gantries,Archivist,pilot,sub_locations/01_cosmic_layer/01_lunar_readiness_base/03_surface_launch_gantries/20_vale_brightlock_cartographer_from_surface.glb
01_cosmic_layer.01_lunar_readiness_base.04.01,"Astra Dubwater, Courier under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Guide,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/01_astra_dubwater_courier_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.02,"Vela Voidrill, Captain of Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Herald,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/02_vela_voidrill_captain_of_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.03,"Lyric Cragwarden, Runner under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Oracle,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/03_lyric_cragwarden_runner_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.04,"Cassian Deepwell, Engineer near Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Captain,engineer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/04_cassian_deepwell_engineer_near_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.05,"Calder Echohand, Tactician under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Medic,warden,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/05_calder_echohand_tactician_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.06,"Kiva Latchward, Mechanist at Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Custodian,tamer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/06_kiva_latchward_mechanist_at_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.07,"Maven Whispercoil, Cartographer under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Oracle,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/07_maven_whispercoil_cartographer_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.08,"Vale Runeclasp, Tamer of Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Cartographer,sentinel,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/08_vale_runeclasp_tamer_of_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.09,"Maven Frostrelay, Scout near Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Keeper,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/09_maven_frostrelay_scout_near_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.10,"Bex Ashvein, Broker near Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Watcher,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/10_bex_ashvein_broker_near_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.11,"Noor Rootborne, Engineer of Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Pilgrim,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/11_noor_rootborne_engineer_of_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.12,"Soren Echohand, Smith under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Tamer,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/12_soren_echohand_smith_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.13,"Rook Whispercoil, Tactician near Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Broker,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/13_rook_whispercoil_tactician_near_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.14,"Asha Echohand, Guide under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Engineer,tamer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/14_asha_echohand_guide_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.15,"Lio Skyharrow, Oracle near Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Smith,engineer,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/15_lio_skyharrow_oracle_near_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.16,"Draven Ironwake, Specialist from Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Sentinel,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/16_draven_ironwake_specialist_from_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.17,"Ren Whispercoil, Sentinel under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Marshal,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/17_ren_whispercoil_sentinel_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.18,"Maven Cinderholt, Specialist of Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Fixer,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/18_maven_cinderholt_specialist_of_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.19,"Zerin Gravesong, Guide of Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Smith,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/19_zerin_gravesong_guide_of_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.04.20,"Ren Tideforged, Tactician under Anti-Orbital",01 Cosmic Layer,01 Lunar Readiness Base,Anti-Orbital Battery Grid,Engineer,scout,sub_locations/01_cosmic_layer/01_lunar_readiness_base/04_anti_orbital_battery_grid/20_ren_tideforged_tactician_under_anti_orbital.glb
01_cosmic_layer.01_lunar_readiness_base.05.01,"Sable Mossguard, Ranger at Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Tactician,medic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/01_sable_mossguard_ranger_at_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.02,"Maven Glassroot, Custodian from Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Mechanist,navigator,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/02_maven_glassroot_custodian_from_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.03,"Selka Gearmantle, Sentinel at Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Archivist,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/03_selka_gearmantle_sentinel_at_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.04,"Mirek Trenchmark, Archivist under Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Warden,worker,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/04_mirek_trenchmark_archivist_under_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.05,"Bryn Riftwalker, Specialist at Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Sentinel,sentinel,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/05_bryn_riftwalker_specialist_at_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.06,"Calder Voidrill, Captain near Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Operator,warden,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/06_calder_voidrill_captain_near_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.07,"Kiva Brightlock, Guide at Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Captain,merchant,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/07_kiva_brightlock_guide_at_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.08,"Sarai Wayfare, Courier near Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Medic,archivist,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/08_sarai_wayfare_courier_near_troop.glb
01_cosmic_layer.01_lunar_readiness_base.05.09,"Nyra Voxmere, Cartographer of Troop",01 Cosmic Layer,01 Lunar Readiness Base,Troop Barracks & Armories,Medic,mystic,sub_locations/01_cosmic_layer/01_lunar_readiness_base/05_troop_barracks_and_armories/09_nyra_voxmere_cartographer_of_troop.glb
