pack_number,zip,pack_name,family,class,subclass,specialization,monster,boss,support_npc,weather,sun_variant,glb_modules,texture_upgrades_png,audio_wav,patch_json_files,target_glb_refs,target_texture_refs,size_bytes
935,935_full_encounter_polish_upgrade_935_the_scrap_tek.zip,Full Encounter Polish Upgrade 935 - The Scrap Tek,full_encounter_polish,The Scrap-Tek,Exo-Brawler,Hydraulic Leap,The Void Anomaly,The Astral Sovereign,Spark the Hacker,blue moonlight,Aurora Cyan Sun,6,10,2,9,28,24,84148
936,936_monster_special_attacks_random_skin_magic_936_the_kinetic_juggernaut.zip,Monster Special Attacks + Random Skin Magic 936 - The Kinetic Juggernaut,monster_special_skin_magic,The Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,The Grid-Rushers,The Ivory Behemoth,Brunt the Bastion,red ashfall,Clear Dawn Sun,6,10,2,9,28,24,83575
937,937_boss_phase_magic_wipe_tell_upgrades_937_the_phantom_shift.zip,Boss Phase Magic + Wipe-Tell Upgrades 937 - The Phantom Shift,boss_phase_magic,The Phantom-Shift,Chrono-Blade,Shadow-Anchor,The Gnarl-Maws,The Resonant Behemoth,Kaelia of the Roots,whiteout snow,Hard Noon White Sun,6,10,2,9,28,24,61105
938,938_player_class_ability_fx_talent_tree_upgrades_938_the_sylvan_warden.zip,Player Class Ability FX + Talent Tree Upgrades 938 - The Sylvan Warden,player_class_ability_fx,The Sylvan Warden,Verdant Weaver,Ablative Carapace,The Scrap-Phalanx,The Resonance Maestro,Tidespeaker Nami,acid rain,Ash Orange Sun,6,10,2,9,28,24,84761
939,939_support_npc_special_attack_assist_upgrades_939_the_flux_caster.zip,Support NPC Special Attack + Assist Upgrades 939 - The Flux Caster,support_npc_specials,The Flux-Caster,Geo-Mage,Elemental Ward,The Siphon-Ticks,The Apex Chimera,Vex the Scavenger,zero-g starwind,Storm Violet Sun,6,10,2,9,28,24,84083
940,940_high_tier_magic_weapon_upgrade_pack_940_the_protocol_weaver.zip,High-Tier Magic Weapon Upgrade Pack 940 - The Protocol Weaver,high_tier_magic_weapons,The Protocol Weaver,EPI-Savant,Foundation Warding,The Aegis Carapace,The Null Anomaly,Flora the Druid,black-sun anomaly,Toxic Green Eclipse,6,10,2,9,28,24,69747
941,941_high_tier_magic_armor_upgrade_pack_941_the_apex_mutator.zip,High-Tier Magic Armor Upgrade Pack 941 - The Apex Mutator,high_tier_magic_armor,The Apex Mutator,Chimera Strand,Corrupted File,The Iron-Jaw Hound,The Ascendant Colossus,Jace the Glitch,aurora rain,Deep Blue Lunar Sun,6,10,2,9,28,24,79004
942,942_combat_flow_smoothness_dynamic_camera_942_the_resonant.zip,Combat Flow Smoothness + Dynamic Camera 942 - The Resonant,combat_flow_camera,The Resonant,Sonic Vanguard,Psychoacoustic Illusion,The Venom-Spitter,The Data-Forged Evolvarch,Dr. Aris the Architect,heat shimmer,Black-Sun Rimlight,6,10,2,9,28,24,78863
943,943_weather_sun_color_terrain_upgrade_943_the_packmaster.zip,Weather + Sun Color + Terrain Upgrade 943 - The Packmaster,weather_sun_terrain,The Packmaster,Hound-Rider,Mounted Artillery,The Tremor-Fiend,The Syndicate Lich,Cipher the Deviant,deep-water gloom,Aurora Cyan Sun,6,10,2,9,28,24,84047
944,944_nature_terrain_element_upgrade_944_the_orbital_striker.zip,Nature + Terrain Element Upgrade 944 - The Orbital Striker,nature_terrain_elements,The Orbital Striker,Zero-G Brawler,Atmospheric Juggle,The Nexus Swarmers,The Astral Sovereign,Ignis the Burner,crystal fog,Clear Dawn Sun,6,10,2,9,28,24,69532
945,945_character_appearance_quality_upgrade_945_the_scrap_tek.zip,Character Appearance Quality Upgrade 945 - The Scrap Tek,character_appearance_quality,The Scrap-Tek,Field-Mechanic,Shrapnel Storm,Nexus Warden,The Ivory Behemoth,Beastmaster Thorne,clear dawn,Hard Noon White Sun,6,10,2,9,28,24,83693
946,946_monster_spawn_skin_randomizer_upgrade_946_the_kinetic_juggernaut.zip,Monster Spawn Skin Randomizer Upgrade 946 - The Kinetic Juggernaut,monster_spawn_randomizer,The Kinetic Juggernaut,Seismic Brawler,The Stampede,The Scrap-Stalker,The Resonant Behemoth,Boomer Dax,gold noon,Ash Orange Sun,6,10,2,9,28,24,83252
947,947_full_encounter_polish_upgrade_947_the_phantom_shift.zip,Full Encounter Polish Upgrade 947 - The Phantom Shift,full_encounter_polish,The Phantom-Shift,Glass-Cannon,Time-Loop,The Sylvan Juggernaut,The Resonance Maestro,Echo the Weaver,orange dusk,Storm Violet Sun,6,10,2,9,28,24,60326
948,948_monster_special_attacks_random_skin_magic_948_the_sylvan_warden.zip,Monster Special Attacks + Random Skin Magic 948 - The Sylvan Warden,monster_special_skin_magic,The Sylvan Warden,Root-Binder,Canopy Assault,The Void Anomaly,The Apex Chimera,Red-Pen Quinn,violet stormfront,Toxic Green Eclipse,6,10,2,9,28,24,83687
949,949_boss_phase_magic_wipe_tell_upgrades_949_the_flux_caster.zip,Boss Phase Magic + Wipe-Tell Upgrades 949 - The Flux Caster,boss_phase_magic,The Flux-Caster,Aether-Blade,Blizzard,The Grid-Rushers,The Null Anomaly,Lyra the Void-Touched,green eclipse,Deep Blue Lunar Sun,6,10,2,9,28,24,83649
950,950_player_class_ability_fx_talent_tree_upgrades_950_the_protocol_weaver.zip,Player Class Ability FX + Talent Tree Upgrades 950 - The Protocol Weaver,player_class_ability_fx,The Protocol Weaver,Front-Matter Architect,Biomechanical Shift,The Gnarl-Maws,The Ascendant Colossus,Zephyr the Pilot,blue moonlight,Black-Sun Rimlight,6,10,2,9,28,24,69322
951,951_support_npc_special_attack_assist_upgrades_951_the_apex_mutator.zip,Support NPC Special Attack + Assist Upgrades 951 - The Apex Mutator,support_npc_specials,The Apex Mutator,Primal Catalyst,Apex Predator,The Scrap-Phalanx,The Data-Forged Evolvarch,Orion the Vanguard,red ashfall,Aurora Cyan Sun,6,10,2,9,28,24,79200
952,952_high_tier_magic_weapon_upgrade_pack_952_the_resonant.zip,High-Tier Magic Weapon Upgrade Pack 952 - The Resonant,high_tier_magic_weapons,The Resonant,Sub-Bass Architect,Low-Frequency Disruption,The Siphon-Ticks,The Syndicate Lich,Director Vance,whiteout snow,Clear Dawn Sun,6,10,2,9,28,24,78887
953,953_high_tier_magic_armor_upgrade_pack_953_the_packmaster.zip,High-Tier Magic Armor Upgrade Pack 953 - The Packmaster,high_tier_magic_armor,The Packmaster,Feral Vanguard,Coordinated Assault,The Aegis Carapace,The Astral Sovereign,The Iron Warden,acid rain,Hard Noon White Sun,6,10,2,9,28,24,84354
954,954_combat_flow_smoothness_dynamic_camera_954_the_orbital_striker.zip,Combat Flow Smoothness + Dynamic Camera 954 - The Orbital Striker,combat_flow_camera,The Orbital Striker,Grav-Architect,Frictionless Dash,The Iron-Jaw Hound,The Ivory Behemoth,Elder Kaelen,zero-g starwind,Ash Orange Sun,6,10,2,9,28,24,68999
955,955_weather_sun_color_terrain_upgrade_955_the_scrap_tek.zip,Weather + Sun Color + Terrain Upgrade 955 - The Scrap Tek,weather_sun_terrain,The Scrap-Tek,Exo-Brawler,Hunter-Killer Drones,The Venom-Spitter,The Resonant Behemoth,Commander Solis,black-sun anomaly,Storm Violet Sun,6,10,2,9,28,24,84176
956,956_nature_terrain_element_upgrade_956_the_kinetic_juggernaut.zip,Nature + Terrain Element Upgrade 956 - The Kinetic Juggernaut,nature_terrain_elements,The Kinetic Juggernaut,Counter-Weight,Heavy Grapple,The Tremor-Fiend,The Resonance Maestro,The Chord Weaver,aurora rain,Toxic Green Eclipse,6,10,2,9,28,24,84575
957,957_character_appearance_quality_upgrade_957_the_phantom_shift.zip,Character Appearance Quality Upgrade 957 - The Phantom Shift,character_appearance_quality,The Phantom-Shift,Chrono-Blade,Sensory Feedback,The Nexus Swarmers,The Apex Chimera,Spark,heat shimmer,Deep Blue Lunar Sun,6,10,2,9,28,24,60550
958,958_monster_spawn_skin_randomizer_upgrade_958_the_sylvan_warden.zip,Monster Spawn Skin Randomizer Upgrade 958 - The Sylvan Warden,monster_spawn_randomizer,The Sylvan Warden,Verdant Weaver,Briar-Patch,Nexus Warden,The Null Anomaly,The Fragmented Core,deep-water gloom,Black-Sun Rimlight,6,10,2,9,28,24,83948
959,959_full_encounter_polish_upgrade_959_the_flux_caster.zip,Full Encounter Polish Upgrade 959 - The Flux Caster,full_encounter_polish,The Flux-Caster,Geo-Mage,Crystal Carapace,The Scrap-Stalker,The Ascendant Colossus,The Grand Archivist,crystal fog,Aurora Cyan Sun,6,10,2,9,28,24,83650
960,960_monster_special_attacks_random_skin_magic_960_the_protocol_weaver.zip,Monster Special Attacks + Random Skin Magic 960 - The Protocol Weaver,monster_special_skin_magic,The Protocol Weaver,EPI-Savant,Structural Revision,The Sylvan Juggernaut,The Data-Forged Evolvarch,Kael the Cadet,clear dawn,Clear Dawn Sun,6,10,2,9,28,24,69335
961,961_boss_phase_magic_wipe_tell_upgrades_961_the_apex_mutator.zip,Boss Phase Magic + Wipe-Tell Upgrades 961 - The Apex Mutator,boss_phase_magic,The Apex Mutator,Chimera Strand,Scrap-Armor,The Void Anomaly,The Syndicate Lich,Riff the Ascetic,gold noon,Hard Noon White Sun,6,10,2,9,28,24,78518
962,962_player_class_ability_fx_talent_tree_upgrades_962_the_resonant.zip,Player Class Ability FX + Talent Tree Upgrades 962 - The Resonant,player_class_ability_fx,The Resonant,Sonic Vanguard,Accelerando,The Grid-Rushers,The Astral Sovereign,Silas the Houndmaster,orange dusk,Ash Orange Sun,6,10,2,9,28,24,78356
963,963_support_npc_special_attack_assist_upgrades_963_the_packmaster.zip,Support NPC Special Attack + Assist Upgrades 963 - The Packmaster,support_npc_specials,The Packmaster,Hound-Rider,Pack Mentality,The Gnarl-Maws,The Ivory Behemoth,Spark the Hacker,violet stormfront,Storm Violet Sun,6,10,2,9,28,24,84319
964,964_high_tier_magic_weapon_upgrade_pack_964_the_orbital_striker.zip,High-Tier Magic Weapon Upgrade Pack 964 - The Orbital Striker,high_tier_magic_weapons,The Orbital Striker,Zero-G Brawler,Singularity Tether,The Scrap-Phalanx,The Resonant Behemoth,Brunt the Bastion,green eclipse,Toxic Green Eclipse,6,10,2,9,28,24,69731
965,965_high_tier_magic_armor_upgrade_pack_965_the_scrap_tek.zip,High-Tier Magic Armor Upgrade Pack 965 - The Scrap Tek,high_tier_magic_armor,The Scrap-Tek,Field-Mechanic,Overcharge,The Siphon-Ticks,The Resonance Maestro,Kaelia of the Roots,blue moonlight,Deep Blue Lunar Sun,6,10,2,9,28,24,83808
966,966_combat_flow_smoothness_dynamic_camera_966_the_kinetic_juggernaut.zip,Combat Flow Smoothness + Dynamic Camera 966 - The Kinetic Juggernaut,combat_flow_camera,The Kinetic Juggernaut,Seismic Brawler,Aggro Manipulation,The Aegis Carapace,The Apex Chimera,Tidespeaker Nami,red ashfall,Black-Sun Rimlight,6,10,2,9,28,24,84272
967,967_weather_sun_color_terrain_upgrade_967_the_phantom_shift.zip,Weather + Sun Color + Terrain Upgrade 967 - The Phantom Shift,weather_sun_terrain,The Phantom-Shift,Glass-Cannon,Momentum Drift,The Iron-Jaw Hound,The Null Anomaly,Vex the Scavenger,whiteout snow,Aurora Cyan Sun,6,10,2,9,28,24,61250
968,968_nature_terrain_element_upgrade_968_the_sylvan_warden.zip,Nature + Terrain Element Upgrade 968 - The Sylvan Warden,nature_terrain_elements,The Sylvan Warden,Root-Binder,Thorns & Tethers,The Venom-Spitter,The Ascendant Colossus,Flora the Druid,acid rain,Clear Dawn Sun,6,10,2,9,28,24,84464
969,969_character_appearance_quality_upgrade_969_the_flux_caster.zip,Character Appearance Quality Upgrade 969 - The Flux Caster,character_appearance_quality,The Flux-Caster,Aether-Blade,Superconduct,The Tremor-Fiend,The Data-Forged Evolvarch,Jace the Glitch,zero-g starwind,Hard Noon White Sun,6,10,2,9,28,24,84195
970,970_monster_spawn_skin_randomizer_upgrade_970_the_protocol_weaver.zip,Monster Spawn Skin Randomizer Upgrade 970 - The Protocol Weaver,monster_spawn_randomizer,The Protocol Weaver,Front-Matter Architect,Reality Tearing,The Nexus Swarmers,The Syndicate Lich,Dr. Aris the Architect,black-sun anomaly,Ash Orange Sun,6,10,2,9,28,24,69549
971,971_full_encounter_polish_upgrade_971_the_apex_mutator.zip,Full Encounter Polish Upgrade 971 - The Apex Mutator,full_encounter_polish,The Apex Mutator,Primal Catalyst,Feral Regeneration,Nexus Warden,The Astral Sovereign,Cipher the Deviant,aurora rain,Storm Violet Sun,6,10,2,9,28,24,78862
972,972_monster_special_attacks_random_skin_magic_972_the_resonant.zip,Monster Special Attacks + Random Skin Magic 972 - The Resonant,monster_special_skin_magic,The Resonant,Sub-Bass Architect,Acoustic Shielding,The Scrap-Stalker,The Ivory Behemoth,Ignis the Burner,heat shimmer,Toxic Green Eclipse,6,10,2,9,28,24,78475
973,973_boss_phase_magic_wipe_tell_upgrades_973_the_packmaster.zip,Boss Phase Magic + Wipe-Tell Upgrades 973 - The Packmaster,boss_phase_magic,The Packmaster,Feral Vanguard,Territorial Divide,The Sylvan Juggernaut,The Resonant Behemoth,Beastmaster Thorne,deep-water gloom,Deep Blue Lunar Sun,6,10,2,9,28,24,83645
974,974_player_class_ability_fx_talent_tree_upgrades_974_the_orbital_striker.zip,Player Class Ability FX + Talent Tree Upgrades 974 - The Orbital Striker,player_class_ability_fx,The Orbital Striker,Grav-Architect,Satellite Painting,The Void Anomaly,The Resonance Maestro,Boomer Dax,crystal fog,Black-Sun Rimlight,6,10,2,9,28,24,69368
975,975_support_npc_special_attack_assist_upgrades_975_the_scrap_tek.zip,Support NPC Special Attack + Assist Upgrades 975 - The Scrap Tek,support_npc_specials,The Scrap-Tek,Exo-Brawler,Hydraulic Leap,The Grid-Rushers,The Apex Chimera,Echo the Weaver,clear dawn,Aurora Cyan Sun,6,10,2,9,28,24,83519
976,976_high_tier_magic_weapon_upgrade_pack_976_the_kinetic_juggernaut.zip,High-Tier Magic Weapon Upgrade Pack 976 - The Kinetic Juggernaut,high_tier_magic_weapons,The Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,The Gnarl-Maws,The Null Anomaly,Red-Pen Quinn,gold noon,Clear Dawn Sun,6,10,2,9,28,24,84348
977,977_high_tier_magic_armor_upgrade_pack_977_the_phantom_shift.zip,High-Tier Magic Armor Upgrade Pack 977 - The Phantom Shift,high_tier_magic_armor,The Phantom-Shift,Chrono-Blade,Shadow-Anchor,The Scrap-Phalanx,The Ascendant Colossus,Lyra the Void-Touched,orange dusk,Hard Noon White Sun,6,10,2,9,28,24,61306
978,978_combat_flow_smoothness_dynamic_camera_978_the_sylvan_warden.zip,Combat Flow Smoothness + Dynamic Camera 978 - The Sylvan Warden,combat_flow_camera,The Sylvan Warden,Verdant Weaver,Ablative Carapace,The Siphon-Ticks,The Data-Forged Evolvarch,Zephyr the Pilot,violet stormfront,Ash Orange Sun,6,10,2,9,28,24,84658
979,979_weather_sun_color_terrain_upgrade_979_the_flux_caster.zip,Weather + Sun Color + Terrain Upgrade 979 - The Flux Caster,weather_sun_terrain,The Flux-Caster,Geo-Mage,Elemental Ward,The Aegis Carapace,The Syndicate Lich,Orion the Vanguard,green eclipse,Storm Violet Sun,6,10,2,9,28,24,83047
980,980_nature_terrain_element_upgrade_980_the_protocol_weaver.zip,Nature + Terrain Element Upgrade 980 - The Protocol Weaver,nature_terrain_elements,The Protocol Weaver,EPI-Savant,Foundation Warding,The Iron-Jaw Hound,The Astral Sovereign,Director Vance,blue moonlight,Toxic Green Eclipse,6,10,2,9,28,24,69449
981,981_character_appearance_quality_upgrade_981_the_apex_mutator.zip,Character Appearance Quality Upgrade 981 - The Apex Mutator,character_appearance_quality,The Apex Mutator,Chimera Strand,Corrupted File,The Venom-Spitter,The Ivory Behemoth,The Iron Warden,red ashfall,Deep Blue Lunar Sun,6,10,2,9,28,24,79860
982,982_monster_spawn_skin_randomizer_upgrade_982_the_resonant.zip,Monster Spawn Skin Randomizer Upgrade 982 - The Resonant,monster_spawn_randomizer,The Resonant,Sonic Vanguard,Psychoacoustic Illusion,The Tremor-Fiend,The Resonant Behemoth,Elder Kaelen,whiteout snow,Black-Sun Rimlight,6,10,2,9,28,24,78488
983,983_full_encounter_polish_upgrade_983_the_packmaster.zip,Full Encounter Polish Upgrade 983 - The Packmaster,full_encounter_polish,The Packmaster,Hound-Rider,Mounted Artillery,The Nexus Swarmers,The Resonance Maestro,Commander Solis,acid rain,Aurora Cyan Sun,6,10,2,9,28,24,85020
984,984_monster_special_attacks_random_skin_magic_984_the_orbital_striker.zip,Monster Special Attacks + Random Skin Magic 984 - The Orbital Striker,monster_special_skin_magic,The Orbital Striker,Zero-G Brawler,Atmospheric Juggle,Nexus Warden,The Apex Chimera,The Chord Weaver,zero-g starwind,Clear Dawn Sun,6,10,2,9,28,24,69492
985,985_boss_phase_magic_wipe_tell_upgrades_985_the_scrap_tek.zip,Boss Phase Magic + Wipe-Tell Upgrades 985 - The Scrap Tek,boss_phase_magic,The Scrap-Tek,Field-Mechanic,Shrapnel Storm,The Scrap-Stalker,The Null Anomaly,Spark,black-sun anomaly,Hard Noon White Sun,6,10,2,9,28,24,83954
986,986_player_class_ability_fx_talent_tree_upgrades_986_the_kinetic_juggernaut.zip,Player Class Ability FX + Talent Tree Upgrades 986 - The Kinetic Juggernaut,player_class_ability_fx,The Kinetic Juggernaut,Seismic Brawler,The Stampede,The Sylvan Juggernaut,The Ascendant Colossus,The Fragmented Core,aurora rain,Ash Orange Sun,6,10,2,9,28,24,84351
987,987_support_npc_special_attack_assist_upgrades_987_the_phantom_shift.zip,Support NPC Special Attack + Assist Upgrades 987 - The Phantom Shift,support_npc_specials,The Phantom-Shift,Glass-Cannon,Time-Loop,The Void Anomaly,The Data-Forged Evolvarch,The Grand Archivist,heat shimmer,Storm Violet Sun,6,10,2,9,28,24,61379
988,988_high_tier_magic_weapon_upgrade_pack_988_the_sylvan_warden.zip,High-Tier Magic Weapon Upgrade Pack 988 - The Sylvan Warden,high_tier_magic_weapons,The Sylvan Warden,Root-Binder,Canopy Assault,The Grid-Rushers,The Syndicate Lich,Kael the Cadet,deep-water gloom,Toxic Green Eclipse,6,10,2,9,28,24,83985
989,989_high_tier_magic_armor_upgrade_pack_989_the_flux_caster.zip,High-Tier Magic Armor Upgrade Pack 989 - The Flux Caster,high_tier_magic_armor,The Flux-Caster,Aether-Blade,Blizzard,The Gnarl-Maws,The Astral Sovereign,Riff the Ascetic,crystal fog,Deep Blue Lunar Sun,6,10,2,9,28,24,83568
990,990_combat_flow_smoothness_dynamic_camera_990_the_protocol_weaver.zip,Combat Flow Smoothness + Dynamic Camera 990 - The Protocol Weaver,combat_flow_camera,The Protocol Weaver,Front-Matter Architect,Biomechanical Shift,The Scrap-Phalanx,The Ivory Behemoth,Silas the Houndmaster,clear dawn,Black-Sun Rimlight,6,10,2,9,28,24,69817
991,991_weather_sun_color_terrain_upgrade_991_the_apex_mutator.zip,Weather + Sun Color + Terrain Upgrade 991 - The Apex Mutator,weather_sun_terrain,The Apex Mutator,Primal Catalyst,Apex Predator,The Siphon-Ticks,The Resonant Behemoth,Spark the Hacker,gold noon,Aurora Cyan Sun,6,10,2,9,28,24,78335
992,992_nature_terrain_element_upgrade_992_the_resonant.zip,Nature + Terrain Element Upgrade 992 - The Resonant,nature_terrain_elements,The Resonant,Sub-Bass Architect,Low-Frequency Disruption,The Aegis Carapace,The Resonance Maestro,Brunt the Bastion,orange dusk,Clear Dawn Sun,6,10,2,9,28,24,79123
993,993_character_appearance_quality_upgrade_993_the_packmaster.zip,Character Appearance Quality Upgrade 993 - The Packmaster,character_appearance_quality,The Packmaster,Feral Vanguard,Coordinated Assault,The Iron-Jaw Hound,The Apex Chimera,Kaelia of the Roots,violet stormfront,Hard Noon White Sun,6,10,2,9,28,24,84791
994,994_monster_spawn_skin_randomizer_upgrade_994_the_orbital_striker.zip,Monster Spawn Skin Randomizer Upgrade 994 - The Orbital Striker,monster_spawn_randomizer,The Orbital Striker,Grav-Architect,Frictionless Dash,The Venom-Spitter,The Null Anomaly,Tidespeaker Nami,green eclipse,Ash Orange Sun,6,10,2,9,28,24,69700
995,995_full_encounter_polish_upgrade_995_the_scrap_tek.zip,Full Encounter Polish Upgrade 995 - The Scrap Tek,full_encounter_polish,The Scrap-Tek,Exo-Brawler,Hunter-Killer Drones,The Tremor-Fiend,The Ascendant Colossus,Vex the Scavenger,blue moonlight,Storm Violet Sun,6,10,2,9,28,24,84456
996,996_monster_special_attacks_random_skin_magic_996_the_kinetic_juggernaut.zip,Monster Special Attacks + Random Skin Magic 996 - The Kinetic Juggernaut,monster_special_skin_magic,The Kinetic Juggernaut,Counter-Weight,Heavy Grapple,The Nexus Swarmers,The Data-Forged Evolvarch,Flora the Druid,red ashfall,Toxic Green Eclipse,6,10,2,9,28,24,84243
997,997_boss_phase_magic_wipe_tell_upgrades_997_the_phantom_shift.zip,Boss Phase Magic + Wipe-Tell Upgrades 997 - The Phantom Shift,boss_phase_magic,The Phantom-Shift,Chrono-Blade,Sensory Feedback,Nexus Warden,The Syndicate Lich,Jace the Glitch,whiteout snow,Deep Blue Lunar Sun,6,10,2,9,28,24,60437
998,998_player_class_ability_fx_talent_tree_upgrades_998_the_sylvan_warden.zip,Player Class Ability FX + Talent Tree Upgrades 998 - The Sylvan Warden,player_class_ability_fx,The Sylvan Warden,Verdant Weaver,Briar-Patch,The Scrap-Stalker,The Astral Sovereign,Dr. Aris the Architect,acid rain,Black-Sun Rimlight,6,10,2,9,28,24,82819
999,999_support_npc_special_attack_assist_upgrades_999_the_flux_caster.zip,Support NPC Special Attack + Assist Upgrades 999 - The Flux Caster,support_npc_specials,The Flux-Caster,Geo-Mage,Crystal Carapace,The Sylvan Juggernaut,The Ivory Behemoth,Cipher the Deviant,zero-g starwind,Aurora Cyan Sun,6,10,2,9,28,24,83653
1000,1000_high_tier_magic_weapon_upgrade_pack_1000_the_protocol_weaver.zip,High-Tier Magic Weapon Upgrade Pack 1000 - The Protocol Weaver,high_tier_magic_weapons,The Protocol Weaver,EPI-Savant,Structural Revision,The Void Anomaly,The Resonant Behemoth,Ignis the Burner,black-sun anomaly,Clear Dawn Sun,6,10,2,9,28,24,69760
1001,1001_high_tier_magic_armor_upgrade_pack_1001_the_apex_mutator.zip,High-Tier Magic Armor Upgrade Pack 1001 - The Apex Mutator,high_tier_magic_armor,The Apex Mutator,Chimera Strand,Scrap-Armor,The Grid-Rushers,The Resonance Maestro,Beastmaster Thorne,aurora rain,Hard Noon White Sun,6,10,2,9,28,24,78276
1002,1002_combat_flow_smoothness_dynamic_camera_1002_the_resonant.zip,Combat Flow Smoothness + Dynamic Camera 1002 - The Resonant,combat_flow_camera,The Resonant,Sonic Vanguard,Accelerando,The Gnarl-Maws,The Apex Chimera,Boomer Dax,heat shimmer,Ash Orange Sun,6,10,2,9,28,24,78802
1003,1003_weather_sun_color_terrain_upgrade_1003_the_packmaster.zip,Weather + Sun Color + Terrain Upgrade 1003 - The Packmaster,weather_sun_terrain,The Packmaster,Hound-Rider,Pack Mentality,The Scrap-Phalanx,The Null Anomaly,Echo the Weaver,deep-water gloom,Storm Violet Sun,6,10,2,9,28,24,84140
1004,1004_nature_terrain_element_upgrade_1004_the_orbital_striker.zip,Nature + Terrain Element Upgrade 1004 - The Orbital Striker,nature_terrain_elements,The Orbital Striker,Zero-G Brawler,Singularity Tether,The Siphon-Ticks,The Ascendant Colossus,Red-Pen Quinn,crystal fog,Toxic Green Eclipse,6,10,2,9,28,24,70031
